npl,total assets,debt to equity,ROA,Tier 1 capital ratio,net charge offs,total loans,TBTF ,Bank,date,risk based capital ratio,total liabilities,total interest expense,total debt,interest rate,total equity,ROE,equity assets ratio,NPL_tot_loans,tot_loans_tot_assets,loan deposit ratio
364.339,113.3888,1.0264,10.41,25.375,49300.355,49300.355,0,Huntington,2015-06-30,12.62,62349.39,39.109,7366.028,0.005309374,6496.258,10.6883,0.094262396,0.00739019,434.7903408,92.1964
356.477,118.6949,1.0083,10.49,16.163,50331.545,50331.545,0,Huntington,2015-09-30,12.7,63627.541,43.022,7813.257,0.005506282,6582.637,10.5428,0.088822687,0.007082576,424.0413447,92.7861
371.581,116.1046,1.0093,10.53,21.823,50815.72,50815.72,0,Huntington,2015-12-31,12.64,64423.695,47.242,7656.643,0.006170067,6594.606,10.7246,0.092370156,0.007312324,437.6718924,91.8993
498.734,117.4514,0.9931,10.99,8.552,52107.023,52107.023,0,Huntington,2016-03-31,13.17,65487.297,54.185,8406.787,0.006445388,7157.67,10.256,0.087321224,0.009571339,443.6475257,93.6691
460.547,131.6926,0.9478,11.37,16.755,53330.414,53330.414,0,Huntington,2016-06-30,13.49,66446.713,59.777,9886.565,0.006046286,7507.304,9.6654,0.073393646,0.008635729,404.961357,96.8878
381.942,107.3163,0.7617,10.4,40.065,69718.963,69718.963,0,Huntington,2016-09-30,12.56,90378.647,68.956,11146.689,0.006186232,10386.765,7.6746,0.071513833,0.005478309,649.6586539,90.0702
398.615,116.4338,0.8338,10.92,43.524,67475,67475,0,Huntington,2016-12-31,13.05,89406,79.877,12002,0.006655307,10308,8.4226,0.072338101,0.005907595,579.5138525,89.2432
401,101.0101,0.8669,11.11,39,67616.507,67616.507,0,Huntington,2017-03-31,13.26,89608.359,90,10542.57,0.008536818,10437.147,8.5083,0.084232171,0.005930505,669.403426,87.3344
364.456,122.8564,0.9648,11.24,36.04,68807.387,68807.387,0,Huntington,2017-06-30,13.33,90752.597,101,13089.348,0.007716198,10654.182,9.3161,0.075829179,0.005296757,560.0635132,90.6155
338,103.0976,0.9805,11.3,43,69239.03,69239.03,0,Huntington,2017-09-30,13.39,91289.277,115,11030.256,0.010425869,10698.849,9.4279,0.091446358,0.00488164,671.5872144,88.2643
349,131.8846,1.1643,11.34,41,70605,70605,0,Huntington,2017-12-31,13.39,93371,124.149,14262,0.00870488,10814,11.2395,0.085222232,0.004942993,535.3543932,91.646
383,101.4503,1.2776,12,38,71669,71669,0,Huntington,2018-03-31,13.99,92938,144,11472,0.012552301,11308,12.0027,0.118311134,0.005344012,706.4444363,90.1826
